T_or_V,label,Chamber_temp,voltage_mV,power_mean,power_SD,power_iqr,power_skew,power_kurtosis,x_mean,x_SD,x_IQR,x_skew,x_kurtosis,y_mean,y_SD,y_IQR,y_skew,y_kurtosis,z_mean,z_SD,z_IQR,z_skew,z_kurtosis,board_temp_mean,board_temp_SD,board_temp_iqr,board_temp_skew,board_temp_kurtosis
T,2,18,2100,0.0574589687531,0.0262770139067,0.05497123,0.45443610951591723,-1.533543799095042,0.00351200991378,0.00402846428505,0.00515463917526,-0.22755496072285145,0.22325715376983135,0.0322909800406,0.004837558609,0.00670103092784,-0.1554056809342205,-0.09435365904034887,1.01390566087,0.00500771390144,0.00721649484536,-0.10163395064338597,-0.1804166365559583,nan,nan,nan,nan,nan
T,2,18,2100,0.0576633089027,0.0262903324966,0.05557476,0.445041390056327,-1.542923129443062,0.00387059350858,0.00420737682137,0.00618556701031,-0.13873507087461742,0.10133672742557742,0.0323753526511,0.00457973464284,0.00618556701031,0.17294258373586438,0.049927176542285956,1.01435916366,0.00519115781899,0.00618556701031,-0.09815468520515264,-0.04757489244426827,nan,nan,nan,nan,nan
T,2,18,2100,0.0574520601995,0.0263110734997,0.05498878,0.4494154547003736,-1.5354117087780048,0.00384034112377,0.00394373638921,0.00515463917526,0.03818637911914048,-0.3006595489676265,0.0324121552329,0.004678177922,0.00721649484536,0.10654612830766615,-0.4985393380269687,1.01350461489,0.00477416456294,0.00618556701031,-0.12987550088274982,-0.2234833793005695,nan,nan,nan,nan,nan
T,2,18,2100,0.0573837276559,0.0262771766387,0.05513859,0.46301339062092367,-1.5243920920650955,0.00384615384615,0.00404791925764,0.00515463917526,-0.1692140048388109,0.3623115666776999,0.0325773195876,0.00478779193008,0.0069587628866,-0.20665969921551122,-0.44407491900599494,1.0138197198,0.00534004128754,0.00721649484536,-0.1403220090858359,0.0018668224523414878,nan,nan,nan,nan,nan
T,2,18,2100,0.0575627972569,0.0263187518493,0.05580442,0.45241120796248063,-1.5391671547024557,0.00390583483898,0.00404411913434,0.00618556701031,-0.0005469088116949136,0.008233609116090168,0.0324104580721,0.00504765029637,0.00721649484536,-0.039103312708856974,0.03611906871502768,1.01432670847,0.00509796570555,0.00618556701031,0.09328697586178099,-0.10470917712786187,nan,nan,nan,nan,nan
V,2,20,2100,0.0573634322693,0.0263244495765,0.05362558,0.4576023953431668,-1.5322743670394459,0.0080401743012,0.00440204766438,0.00618556701031,0.1296252950827304,0.11685925967597788,0.0334307577851,0.00490716920993,0.00721649484536,-0.17248682852417566,-0.2238485994921744,1.01647093209,0.00509713681797,0.00721649484536,0.08182184665411996,-0.22535425565870115,nan,nan,nan,nan,nan
V,2,20,2100,0.0572757901496,0.0264325867957,0.05613676,0.4396671380202623,-1.5403704757885865,0.00772932884494,0.00396482699993,0.00515463917526,0.006553041332156281,0.21302652064806082,0.0327109194193,0.00478682924035,0.00644329896907,-0.0030151250898515563,-0.3784845162092392,1.01651851462,0.0050178551855,0.00618556701031,-0.11324012269711474,0.33160545214580317,nan,nan,nan,nan,nan
V,2,20,2100,0.0573902408978,0.0262785184953,0.05363607,0.4555758446216042,-1.5309339297991373,0.00757957225771,0.00444534233313,0.00515463917526,-0.12632608076630755,0.2619186850779407,0.0334137227361,0.00487099999615,0.00515463917526,-0.0603626078241098,0.2157065258305435,1.01632258235,0.00517240170106,0.00618556701031,-0.08089919068335022,0.21826612924108213,nan,nan,nan,nan,nan
V,2,20,2100,0.0574487942643,0.0262924997018,0.05633599,0.4605486600986779,-1.5261466132199146,0.0080659583421,0.00416910847894,0.00515463917526,0.21663665186299508,0.8578769035771598,0.0330659583421,0.00459538635444,0.00515463917526,-0.3080101328317508,0.16271002297055892,1.01684199453,0.00533391967745,0.00721649484536,-0.1328651575165107,-0.059834693387908366,nan,nan,nan,nan,nan
V,2,20,2100,0.0576761680299,0.0260902118109,0.05615243,0.4685514462291913,-1.5204573434620747,0.00789759626852,0.00374934101492,0.00515463917526,0.029338546051196904,0.0906930323174775,0.0328386293165,0.00474900623168,0.00721649484536,0.11415741414837391,-0.0970942462638793,1.01622717515,0.00482891474124,0.00618556701031,-0.021119003630508306,0.4881651399494418,nan,nan,nan,nan,nan
