T_or_V,label,Chamber_temp,voltage_mV,power_mean,power_SD,power_iqr,power_skew,power_kurtosis,x_mean,x_SD,x_IQR,x_skew,x_kurtosis,y_mean,y_SD,y_IQR,y_skew,y_kurtosis,z_mean,z_SD,z_IQR,z_skew,z_kurtosis,board_temp_mean,board_temp_SD,board_temp_iqr,board_temp_skew,board_temp_kurtosis
T,4,18,2100,0.126021580349,0.0441387362839,0.08185411,-0.08548598196190718,-1.5432298256341777,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
T,4,18,2100,0.125752497456,0.0441038707564,0.08155956,-0.08664646531241246,-1.5331191979560908,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
T,4,18,2100,0.123459797531,0.0425533114195,0.07902863,-0.013644634183853196,-1.4075378514974444,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
T,4,18,2100,0.122018053242,0.0435867311521,0.08148303,-0.04887240538342288,-1.5515347666921628,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
T,4,18,2100,0.124221564613,0.0434610847945,0.08004522,-0.017293693496842805,-1.4929723933432746,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
V,4,20,2100,0.126057068279,0.044069404839,0.08173327,-0.08327526511606816,-1.5521452684285264,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
V,4,20,2100,0.125952199202,0.0438247135065,0.0812047,-0.0810051746843061,-1.5426487219714233,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
V,4,20,2100,0.125911175287,0.0436934474245,0.0810441,-0.08653951355690377,-1.5291971198616792,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
V,4,20,2100,0.126004562269,0.0439371980348,0.08112577,-0.0898441838785872,-1.5384272850062013,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
V,4,20,2100,0.126180038155,0.0441691493913,0.08098638,-0.10268705885124449,-1.5395314077717024,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
T,4,22,2100,0.125519626758,0.0440595062075,0.08105269,-0.07668114490398165,-1.5427168761377321,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
T,4,22,2100,0.123899640723,0.0428922888496,0.07996786,-0.014037616174529493,-1.458359726038731,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
T,4,22,2100,0.125139582444,0.0439186155212,0.08097389,-0.06580333920513813,-1.5372686796055,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
T,4,22,2100,0.126010558229,0.0437506427423,0.08136595,-0.09253732795553699,-1.5286181551575473,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
T,4,22,2100,0.125306992244,0.0441394787137,0.08154096,-0.06604340526330278,-1.5443303653464657,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan
